score,video_id,title,channel_title,published_at,viewCount,likeCount,commentCount,description
2024.1963570809667,Pg58vWx85C0,요즘 유행하는 불닭 이거 알아?? #shorts,Jings ASMR 징스,2025-12-21 11:15:41+00:00,59659,1008,89,불닭볶음면 #라면먹방 #asmr먹방 #불닭어묵탕면 #불닭볶음면먹방 #asmreatingsounds #asmrmukbanger #buldak #buldakramen ...
2011.3387826539993,VbqAK0jn0XU,대구 사람들만 안다는 로컬 맛집#대구맛집 #대구핫플 #동인동맛집 #삼덕동맛집 #대구노포 #대구통닭#대구치킨 #동인동밥집 #대구노포맛집 #대구닭불고기,대구핫플여기 대구맛집,2026-01-06 01:45:03+00:00,18476,149,4,
1993.657493838146,r34iVTmY6Qw,편의점 신상리뷰 먹방,편생편사 넷사장,2026-01-09 10:26:55+00:00,7476,111,0,This stream is created with #PRISMLiveStudio.
1981.7466698009382,J69437fWxRE,요즘 유행하는 초코칩쿠키 이거 알아?? #shorts,Jings ASMR 징스,2025-12-23 11:02:57+00:00,53629,831,85,과자먹방 #간식추천 #asmr먹방 #디저트먹방 #초코칩쿠키 #asmreatingsounds #asmrmukbanger #asmrsnacks #asmrdessert ...
1978.990802756723,RfNoxjVD7BM,그래서 이번주 신상이 뭔데?,밈PD,2025-12-18 10:00:51+00:00,80319,0,100,"고독한밈슐랭 #mimpd EP.12 ---------------------------------------- ✔️광고,PPL 문의   ☝  Instagram : mimpd.x_x.official ☝  E-mail ..."
1973.626736175178,EoCGNOBbTGE,🍙 최강록의 소보로 삼각김밥 솔직후기 #쇼츠 #shortst,TodaySolution,2026-01-07 23:58:53+00:00,13256,15,1,가격: 약 1400원 (세븐일레븐 앱/인스타 정보) ￼ 칼로리: 250kcal 영양: 탄수화물 40g / 단백질 6g / 지방 7g ￼ 셰프 최강록 ...
1969.6587705630702,P8701j39nhA,"성수 핫플 말고, 이런 데 갑니다ㅣ정혜드림브이로그 (카페, 레스토랑, 소품샵)",정혜드림,2026-01-09 11:00:55+00:00,6068,146,30,"안녕하세요 여러분~ 정혜가 정해드리는, 정혜드림입니다. 분크 본사가 성수에 있다 보니 오가면서 자연스럽게 알게 된 곳들이 ..."
1963.7590643274852,kJ67IABdr8Y,김치전 가장자리 맛 과자? 김칩스 먹어봄 #김칩스,옝구 yenggu,2026-01-11 15:21:49+00:00,1539,9,0,"제품협찬 김치전 가장자리맛 과자?! 더다믐 김칩스 오리지널은 국내산 쌀가루에 진짜 김치를 갈아 넣어 만든 김치 스낵으로, 전통 부각 ..."
1942.2652677212918,WOBRU_XLirk,GS25에서 보이면 꼭 사야할 간식 2가지 소개해드릴게요!,탄당지,2026-01-06 05:57:42+00:00,16791,171,9,gs25 #편의점신상 #간식추천 #간식리뷰 #젤리 #초콜릿.
1936.2534647865555,UHJxLS1_e7U,1년을 기다렸다... 드디어 재출시된 최강록 레전드 도시락 🔥,알려준데이,2026-01-10 06:49:01+00:00,5308,41,2,"2025년 품절 대란의 주인공, 최강록 셰프의 '간장들기름비빔밥'이 2026년 1월 6일 드디어 재출시되었습니다! 고추장 대신 감칠맛 ..."
1896.907895248034,yokmj99CMK0,세븐일레븐 신상 두바이 쫀득쿠키?!,캐치스피드,2026-01-01 09:45:45+00:00,31517,192,5,세븐일레븐 신상 두바이쫀득쿠키?! 오늘 1/1일 출시된 카다이프 쫀득볼인데 발견하자마자 바로 먹었어요! 가격은 3200원이고 쫀득한 ...
1834.397641707775,JoVmtvGyOts,편의점 신상리뷰 먹방,편생편사 넷사장,2026-01-08 11:56:27+00:00,8983,146,2,This stream is created with #PRISMLiveStudio.
1830.7520330263546,GBC8KI19GMU,"상하이 핫플,맛집 싹 다 갔다 🇨🇳  [상해 3박4일 ] 와이탄•동방명주•디즈니랜드•티엔즈팡•수건케이크•맛집] ",시민김민,2026-01-08 08:43:44+00:00,6089,225,33,3키로는 쪄온 상해 여행 ••   insta: @lovmeeen #상하이 #상해여행 #상하이브이로그 #상하이디즈니랜드 #중국여행 #여행브이로그 ...
1806.3496515596748,jxCBrcmX0Hc,"12월 편의점 신제품, 다 먹어볼게요!!",또호 DDO_HO,2025-12-19 11:02:14+00:00,52954,1194,27,ㅡDDO HO⭐ ♬HO INSTAGRAM | https://www.instagram.com/ddo.ho ㅡ ddo_ho@sandboxnetwork.net ㅡ #편의점 #편의점신상 ...
1801.2801779107085,-rHYBBmNQqU,요즘 유행하는 #두바이쫀득쿠키 #두쫀쿠,심자몬,2026-01-04 09:25:07+00:00,18032,329,26,
1795.6272483742305,Z-vvU2qvXBQ,요즘 핫한 두쫀쿠 CU에도 있음😀 #두쫀쿠 #두바이쫀득쿠키,여행하는 주이 JuyNote,2026-01-03 13:27:03+00:00,24166,109,4,
1775.6807509941755,_Q5qy5K7Cs0,슬기로운 간식생활 #두쫀쿠 #세븐일레븐 #편의점 #편의점두바이 #두바이 #신상 #던킨 #도넛 #도넛먹방 #빵순이 #먹방,Sugary슈가리,2026-01-06 10:42:16+00:00,13817,194,16,
1768.5705059864358,ZbxGM4lVjEo,CU신상 연세우유 딸기크림 맘모스빵?!,캐치스피드,2026-01-07 02:34:44+00:00,13268,110,1,CU에 연세우유 신상으로 딸기크림 맘모스 나왔는데 짱맛있어요! 가격은 3800원이고 빵 사이에 재료가 꽉 차있음 ㅠㅠ 먹으면 돼지 ...
1756.876004597419,WJp7hLpvBRM,박자 맞추기 한번에 성공 가능?!😎 이유식 재료로 박자 맞추기 쉽지 않네요.. . . #박자맞추기 #박자챌린지 #이유식재료,자이티(JYTEE),2025-12-19 07:19:52+00:00,63949,436,21,
1755.77042495994,ae0bipqWzho,꼬미가 알려주는 요즘 핫한 꿀고구마! 너무 핫해서 저도 한번 만들어봤어요🍠 #고구마 #꿀고구마 #간식,꼬미맘마,2025-12-18 09:01:52+00:00,57,5,0,
1751.9824173257623,Xx3NpmB8QiE,요즘유행 | 뚜떰즈업 두바이쫀득쿠키🍫 I (내가) 재미있는거 몇개 낋여옴 I 먹대장 I 육아브이로그,서누네띠네,2025-12-17 09:38:21+00:00,471,29,12,안녕하세요! 서누네띠네입니다   요즘 알고리즘에 두바이쫀득쿠키랑 건과일에 점령당해서.. 저도 한번 해보았습니다..ㅎㅎ 두바이 ...
1751.3428294640642,Fp_xO2gHzW4,요즘 유행인 두바이 쫀득쿠키 만들기 대성공👩🏻‍🍳 | 새해에 나눠주고 마음이 부자 됐어요 💸💸💛 #shorts,필라현짱,2026-01-04 17:52:40+00:00,18625,199,13,
1738.3060297716736,aNQ8G2vG4rg,두쫀쿠 시작 전 카이막이 원조,잇츠에디터,2026-01-08 12:23:11+00:00,9965,20,10,두쫀쿠? 그 전에 이미 디저트 유행은 '카이막'이었음 무려 40시간 숙성해서 만드는 몽글몽글한 흰 뭉텅이 비주얼 꿀 찍어 먹으면…
1728.6657236196718,ByzCak_Op6E,딱 4가지 재료로 만든 다이어트 두바이 크림푸딩,프리니,2026-01-11 02:00:02+00:00,2773,7,1,"당류2g #두바이 #초코크림푸딩 요즘 유행 두바이 크림푸딩, 입안 가득 차는 꾸덕함 때문에 자꾸 생각나죠 근데 밖에서 사 먹으면 ..."
1714.7282059674585,t-pbQZpeaLk,내과의사가 본 두바이 쫀득 쿠키!! #두바이쫀득쿠키,윔 스튜디오,2026-01-01 08:30:36+00:00,24450,385,39,"다이어트는 몸을 줄이는 일이 아니라, 삶의 밸런스를 되찾는 과정입니다. WIM Studio는 비만·대사·노화의 과학을 바탕으로 건강한 ..."
1697.4402348415515,-NPzR5fXB3g,젤라또맛 쿠키초코볼! 먹어봤나요?#편의점신상 #편의점초콜릿,사랑아놀자(Let's Play SARANG),2025-12-18 06:00:00+00:00,60340,696,26,
1692.311678471062,LJo9ReuI9XM,요즘 성수에서 가장 핫한 디저트는 이것? #shorts  #스브스뉴스 #갓나온맛도리,스브스뉴스 SUBUSUNEWS,2025-12-30 09:00:36+00:00,33748,160,6,"구매링크▽ https://bit.ly/4pMiILa ✓ 뉴스에는 위아래가 없다, 스브스뉴스 - 비즈니스 문의 - 브랜디드 콘텐츠 기획/제작 문의: ..."
1682.9301795884696,kZsww4g-prw,세븐일레븐 신상 샤베트젤리?!,캐치스피드,2025-12-17 05:07:31+00:00,62327,738,1,세븐일레븐 신상 샤베트젤리?! 일본에서 건너온 젤리인데 이번에 세븐일레븐에 들어와서 바로 사먹어봤어요! 사각사각한 샤베트 식감 ...
1680.7158181732693,rOOBt5rwidg,리뉴얼~최강록의 소보로 삼각김밥이야~ #편의점신상간편식 #편의점신상삼각김밥 #최강록의소보로삼각김밥,존맛맨,2026-01-07 05:17:41+00:00,12999,44,5,
1673.2288746585286,zFL0RVQFzxs,vlog. 연말 브이로그 부산 당일치기🚄 요즘 핫한 두바이크레페·두바이쫀득쿠키 1일1두바이,노린 Norin,2026-01-04 11:01:44+00:00,193,9,7,"Instagram • nornorinn Contact • sun960204@gmail.com 안녕하세요! 부산 당일치기 브이로그! 그리고, 요즘 핫하다는 두바이크레페 ..."
1653.6893607426755,KleljiJYFHE,"요즘 유행하는 미지근&amp;멀멀 색조로!🌸도우인 반스푼, 데일리 메이크업",쎄씰 Cécile,2026-01-09 11:18:02+00:00,4407,108,33,CONTACT neriia@naver.com BLOG https://blog.naver.com/neriia INSTAGRAM @cecile_makeupbox 안녕하세요! 오늘은 2026년 ...
1652.1440915130067,-TUf2zxTWNw,고기 굽다가 드라마 구경 중? 올유캔잇 바베큐 레스토랑에서 요즘 유행하는거 저도 해봤어요!,수아무아 | Korean Mom English Fix,2026-01-10 07:23:18+00:00,4553,24,1,"고기 굽다 드라마 구경 중?   유행하는 거, 저도 해봤어요ㅎㅎ 이거 같이 해보자고 급하게 부탁드렸는데 미모의 슈퍼바이저님 ..."
1648.4685182767025,i8GCNEndiXk,GS25 신상 말차빵 부부 먹방 😋 #먹방 #mukbang #신상 #편의점 #편의점신상 #빵지순례 #간식 #말차 #디저트 #커플 #연애 #사랑 #결혼 #커플먹방 #먹방브이로그 #빵,먹방탐험대 Mukbbang,2026-01-11 01:27:50+00:00,2670,8,2,
1628.8442066122172,uAyRtnXCKuo,GS25 가기전에 보고가야할 간식 3가지,한설탕,2026-01-05 10:28:16+00:00,14344,232,7,편의점간식 #편의점신상 #신상간식 #신상리뷰 #gs25 GS25 가기전에 보고가야할 간식 3가지 1. 쫀득 초코칩( 가격 : 2000원) ...
1627.7993808049534,8tiORZkp4BE,맛있는 수비드 안심스테이크,먹는사람,2026-01-11 22:27:24+00:00,1292,4,1,라구 파스타랑 안심스테이크 먹고왔습니다 연남동에 있는 비스트로오라인데요 데이트로 오기 좋아보였고 세트 가성비가 괜찮습니다 ...
1618.4497481803496,OCZ2H7yx4oE,과일모양 초콜릿 🍫? GS25 신상! #shorts #신상 #gs25편의점 #gs25신상 #초콜릿 #과일모양초콜릿 #편의점간식 #편의점신상 #신상리뷰 #인생100,인생100,2026-01-03 12:10:27+00:00,23097,0,2,사장님! 이건 좀....;;; ㅎㅎㅎ.
1613.5355453723048,EQ8dQsIAIqU,바다 건너 온 코스트코 신상🇮🇹 한국인 입맛 저격한 코스트코 첫 출시🛒 #코스트코,살림맨,2026-01-05 11:00:31+00:00,15100,184,1,바다 건너 온 코스트코 신상     한국인 입맛 저격한 코스트코 첫 출시   #코스트코 와… 이거 드셔보셨어요? 손바닥만 한 자이언트 ...
1608.3453083655816,qpx1OnHlW-s,"지금껏 만든 초코칩 쿠키 중 베스트! 가장자리는 바삭, 가운데는 초코로 가득, 리플 초코 쿠키! 하늘 아래 같은 초코칩 쿠키는 없어요 Ripple Cookies | 하다앳홈",HADA at HOME하다앳홈,2025-12-29 11:45:15+00:00,18608,683,49,Ripple Chocolate Chip Cookies 쿠키 가장자리에 여러 겹의 주름이 생기는 쿠키를 '리플 초코칩 쿠키'라고 합니다 설탕은 쿠키 ...
1606.9569210087736,pUavbkB_4dQ,"이게 39,000원? 파리바게트 신상 딸기케이크",캐치스피드,2025-12-22 08:47:01+00:00,51796,245,31,파리바게트 신상 딸기케이크?! 베리밤이 새로 나와서 사전예약해서 사왔는데 일단 사이즈 실환가..? 39000원에 샀으면 너어무 억울할 ...
1593.1393919342772,NsCf605Ha14,취향 확실히 갈리는 CU편의점 디저트 TOP3,리뷰하는개미,2026-01-05 14:44:58+00:00,16165,74,1,CU 편의점 디저트 3종 전부 다 추천하진 않았습니다. ✔️ 연세우유 우유생크림떡 ✔️ 연세우유 딸기생크림빵 ✔️ 카다이프 초코 ...
1591.2651987827333,S976lwIC-vI,"ENG) 🇰🇷 VLOG | 서울 성수동 브이로그 | 요즘 핫플이라는 군자를 살짝 곁들인..🤍 | 성수동 맛집, 카페, 빙수🤤☕️🍧 | 윤숲, 송화산시도삭면, 코리야 성수",재니로그JANNYLOG,2025-12-14 11:15:04+00:00,189,5,10,"2025년 09월성수동, 군자에서의 기록 #서울브이로그 #성수동브이로그 #성수카페 00:00 intro 00:19 day 1 03:19 day 2 05:12 day 3 ..."
1587.8126981547462,kj2nNa_U1uY,"요즘 난리난 🧆두바이 디저트🍫만 털고 이건 진짜 안 하려고 했는데🤦‍♀️ㅋ | 먹방 브이로그(편의점 신상 디저트먹방, 두바이쫀득쿠키 만들기(?), 두바이와플, 불닭볶음면)",임나,2025-12-30 12:01:26+00:00,25370,397,82,"안녕하세요, 2025년의 마지막 영상으로 돌아온 임나입니다 새해 인사 드린 게 엊그제 같은데 어느새 또 연말..   크리스마스도 지나고 ..."
1575.6942924980247,uCfkJcah0Ac,슬기로운 간식생활 #세븐일레븐 #생초코파이 #편의점 #신상 #먹방,Sugary슈가리,2026-01-04 09:34:38+00:00,12246,362,17,
1558.0279010307736,PLa2pcINgso,편의점 두쫀 신상 먹방 세븐일레븐 두바이쫀득볼,편순이 최딩고 TV,2026-01-02 05:14:26+00:00,551,15,27,세븐일레븐 두쫀 편의점 두바이쫀득볼 먹방 00:00 인트로 00:24 두쫀 뜻 01:00 먹방시작 02:04 정보 및 맛평가 #편의점먹방 #편순이 ...
1551.1236261123593,SFA0Ze0QKm8,(창원맛집) 창원 두쫀쿠 6곳 중 최강맛집을 찾아 떠났습니다,글댕이 맛집 탐방!,2026-01-04 07:07:54+00:00,598,32,13,요즘 유행하는 두쫀쿠 나도 먹어봤지롱.
1546.1714285714284,z90BnYncXGk,구름모양 뽕따맛 신상 젤리!! 스티커까지?,아이리뷰유,2026-01-11 23:03:00+00:00,98,7,0,편의점신상 #젤리 #젤리먹방.
1520.7233714993588,lnNZ_-2HyrQ,편의점 신상리뷰 먹방,편생편사 넷사장,2026-01-07 09:38:06+00:00,9804,129,0,This stream is created with #PRISMLiveStudio.
1513.7621181480667,aKQAB_disRA,아니 글쎄 핫한 카페를 갔는데...(feat.와이프) #shorts #요즘카페 #특,용접하는 김씨,2026-01-02 03:05:27+00:00,22033,192,12,바닥에서 먹을까 그냥?
1505.8565759238854,ykn6QF4AF5E,막대까지 먹을 수 있는 편의점 신상 젤리?!,아이리뷰유,2026-01-01 23:03:00+00:00,22329,195,8,편의점신상 #젤리 #젤리먹방.
1498.7135697065733,smmx5cNY1mw,서울 3대 장어덮밥?!,대식잇,2026-01-08 06:43:40+00:00,9228,14,5,서울 3대 장어덮밥 맛집?! 역삼 치솟 아니 요즘 핫한 흑백요리사 장어덮밥이 멀어서 아쉬웠다면 여기 당장 저장하세요! 강남에서 유일 ...
1496.4718128844754,3YgiS2XHYaY,요즘 유행하는 불닭 미역탕면 #요리플렉스,요리플렉스,2025-12-30 10:00:06+00:00,27906,210,33,
1484.6664595415848,1cjJLb8EHC4,두찜 신상메뉴!! 대창 닭발🤤✨,제주사라,2026-01-02 13:28:41+00:00,18559,278,14,다음엔 로제 닭발 먹어봐야지...!!!!! #두찜 #두찜닭발 #대창닭발 #한우대창맵닭발.
1457.5706026659648,R59m0FLCY2g,[recipe]  지금 SNS 난리 난 🧀 그 요거트 치즈케이크!!,홈쿡레시피 homecook recipe ,2026-01-08 09:06:23+00:00,8206,49,3,"""레시피"" 요즘 핫한 요거트 치즈케이크 예요. 케이크모양을 내주고싶어서 다이제스티브를 이용해서 타르트지를 만들었어요. 하루 숙성 ..."
1443.7551544305118,VXfa-Efo-tI,2025년 유행음식 정리! #먹방 #유행 #두바이쫀득쿠키,모룽지molungzi,2025-12-31 12:26:01+00:00,21150,349,17,
1432.705271373083,9Tg69QxKz-4,"먹을 복 터져버린 연말,, 살은 패딩이 가려줄거야❄️ 먹방VLOG | 피자스쿨 오지치즈포테이토 새우크림떡볶이 말차두바이디저트 두바이와플 쫀득쿠키 딸기케이크설빙 편의점딸기신상",찌콩먹콩 zzicong,2025-12-16 08:50:18+00:00,51689,665,37,"여러분 한주 잘보내셨나요❣️ 오늘도 맛도리 한가득 영상 들고왔습니닷   요즘 또 핫한 음식들이 많이 보이던데,, 궁금한건 참을 수 ..."
1420.2755838825797,4WeG00n5bOw,"🍫편의점 두쫀쿠 3대장✔️CU 유라가)두바이쫀득찹쌀떡 3,100원 ✔️세븐일레븐 카다이프쫀득볼3,200원✔️GS2⁵ 두바이쫀득초코볼2입 5,800원여러분들의 선택은?#두쫀쿠",온순이,2026-01-06 10:44:48+00:00,11655,74,30,
1417.9558962067665,Oa-THo44WnI,요즘 미국 유행은? 바닥에 피자 냅다 꽂기,숏벅숏벅,2025-12-31 11:26:41+00:00,22504,278,8,3.
1415.0509550153604,qPRWMeUGcJI,아~이건 아니잖아~신상라면~신라면 골드야~#신상라면 #신라면골드 #신상라면리뷰,존맛맨,2025-12-30 04:27:32+00:00,27325,172,24,
1402.735640393479,l3jhWtVMJ1w,신상 신라면 골드 솔직 후기 #신라면 #카레 #라면,와니스토리 wani_story,2026-01-05 09:01:09+00:00,13344,118,21,오늘도 시청해주셔서 감사합니다. 제품명: 신라면골드 가격 : 4580원 (마트기준)
1400.9405935933544,RuwYSPOk1d4,"ASMR) 오늘도 돌아온 편의점 신상 먹방! 홍만당 모찌는 사랑❣️❣️❣️ 딸기모찌,샤인모찌 찐 맛도리😍😍",빵마담 bbangmadam,2026-01-08 11:04:11+00:00,1896,85,18,자막을 켜주세요   자막은 화면 오른쪽 상단의 설정 버튼에서 켤 수 있습니다 ❤️ 안녕하세요 빵마담입니다   편의점 신상 디저트 ...
1400.5318435754189,4Jlisjm9vyQ,신라면 골드 #신상라면 #먹방 #리뷰 #신라면 #혼밥 #면치기,먹채,2026-01-11 23:00:10+00:00,1074,6,0,
1396.7103514959642,NDRVGMdkVWQ,제발 불닭미역탕면에 이거 같이 드셔보세요ㅠㅠㅠ 먹방VLOG | 미역불닭탕면+곱창 크런치버터치킨 청년피자신메뉴 편의점신상 말차빵 베이글샌드 두바이초콜릿 떠먹는스콘,찌콩먹콩 zzicong,2025-12-26 08:27:32+00:00,31665,396,17,테무 신규회원 13만원 쿠폰팩+90%할인코드: 【kcg9974】 (검색해서 적용하기) 쿠폰 및 구매링크: ...
1383.5478745774624,LwcYd4wE1_8,요즘 SNS에서 핫한 무설탕 간식 #베트남사탕,온더홈,2026-01-03 08:55:00+00:00,15798,219,14,"베트남 여행 가면 무조건 쟁여온다는 그 전설의 사탕! 이제 한국에서도 쉽게 구할 수 있습니다. 일단 크기가 엄청 작고 귀여운데, ..."
1364.1156951809348,D54L91ms0_I,우지라면 ▶ 먹방! 요즘 핫하다는데 나도 먹어보자! 😋 #shorts Korean Ramen and Kimchi Mukbang!,쩜리 jjeomli,2026-01-11 10:47:14+00:00,1205,12,1,삼양 우지라면과 김치 먹방입니다! 요즘 핫하다는 우지라면은 최근 화제가 된 신상 라면인데요. 기존 매콤한 라면에 사골국물이 더해져 ...
1356.309015047784,ioS5Vie0T7Q,"동태 4마리 5,000원 /  체리 2근 만원 등 채소, 과일, 수산물 저렴",야미일상노트,2026-01-07 01:38:40+00:00,6245,179,11,"요즘 핫한 것이 냉이, 시금치, 봄동 등인데요. 여양의 보고이죠. 고르는 방법 알려 드려요. 동태4마리 5000원 말이 안되는 가격이네요."
1345.160280131781,Ggl5w0FhPsY,"지드래곤씨 저랑 입맛이 맞는데요...? 물론 입맛만ㅎ😂 ㅣ 치즈폭탄직화불닭,  에드워드리 셰프 폭립&amp;갈비 함박 도시락, 치즈밥, 꾸덕젤리, 달너새, 잭콕,  데이지에일,  나쵸",민경장군,2025-12-17 09:00:01+00:00,41334,755,31,쫄병아리 여러분! 여러분이 기다리던 12월 편의점 신상을 가지고 왔습니다   이번에도 정말 맛있고 다양한 간식들을 가지고 왔으니까 ...
1341.4255835373428,fypONm3F-Rk,CU편의점 1위 카다이프 쫀득찹쌀떡 두바이 쫀득쿠키,리뷰하는개미,2025-12-18 14:19:00+00:00,50396,244,24,"편의점 5군데 뺑뺑이 돌아서 겨우 구했습니다 요즘 포켓CU 검색어 1위, 없어서 못 산다는 두바이스타일 카다이프 초코 쫀득 찹쌀떡!"
